epoch,sigma,train_acc,train_loss,val_acc,fpga_val_acc,val_loss,test_acc,test_loss,lr,lr_pos,time_s
54,10.6417,46.44,1.5390,66.89,50.74,1.2261,-1.00,-1.0000,4.87e-03,3.52e-02,78.0
55,10.4975,47.21,1.5296,71.25,54.33,1.1513,-1.00,-1.0000,4.84e-03,3.47e-02,78.8
56,10.3519,47.72,1.5357,70.74,59.02,1.1586,-1.00,-1.0000,4.81e-03,3.42e-02,79.6
57,10.2050,48.54,1.5054,72.56,54.25,1.1472,-1.00,-1.0000,4.78e-03,3.37e-02,78.8
58,10.0569,47.67,1.5039,72.37,58.09,1.1235,-1.00,-1.0000,4.75e-03,3.32e-02,78.8
59,9.9077,50.36,1.4739,70.95,47.92,1.1766,-1.00,-1.0000,4.72e-03,3.27e-02,78.7
60,9.7574,49.60,1.4693,70.88,57.71,1.1392,65.41,1.2219,4.68e-03,3.22e-02,79.4
61,9.6061,48.99,1.4664,69.96,57.58,1.0918,-1.00,-1.0000,4.65e-03,3.17e-02,80.1
62,9.4539,49.24,1.4796,69.45,51.50,1.1453,-1.00,-1.0000,4.61e-03,3.12e-02,79.7
63,9.3008,50.12,1.4298,71.18,59.38,1.1076,-1.00,-1.0000,4.57e-03,3.07e-02,80.2
64,9.1469,49.48,1.4539,73.00,59.67,1.0834,-1.00,-1.0000,4.52e-03,3.02e-02,80.5
65,8.9922,50.12,1.4423,72.86,60.61,1.0870,-1.00,-1.0000,4.48e-03,2.97e-02,79.9
66,8.8370,50.55,1.4404,71.70,56.01,1.0899,-1.00,-1.0000,4.43e-03,2.92e-02,79.0
67,8.6811,50.32,1.4286,71.81,63.69,1.0457,-1.00,-1.0000,4.38e-03,2.87e-02,79.8
68,8.5247,50.37,1.4346,70.52,55.82,1.1166,-1.00,-1.0000,4.33e-03,2.81e-02,79.7
69,8.3678,50.24,1.4197,71.55,59.27,1.0792,-1.00,-1.0000,4.28e-03,2.76e-02,79.2
70,8.2105,51.26,1.4095,73.04,62.03,1.0680,68.74,1.1589,4.23e-03,2.71e-02,79.7
71,8.0530,51.74,1.3797,74.72,57.16,1.0272,-1.00,-1.0000,4.17e-03,2.66e-02,80.0
72,7.8952,50.86,1.4029,73.15,59.05,1.0594,-1.00,-1.0000,4.12e-03,2.60e-02,79.7
73,7.7372,51.43,1.3921,74.31,63.09,1.0584,-1.00,-1.0000,4.06e-03,2.55e-02,77.0
74,7.5791,51.90,1.3843,73.11,57.25,1.0282,-1.00,-1.0000,4.00e-03,2.50e-02,78.0
75,7.4209,51.23,1.4016,69.42,66.95,1.0956,-1.00,-1.0000,3.94e-03,2.45e-02,78.2
76,7.2628,52.84,1.3635,75.28,63.28,0.9996,-1.00,-1.0000,3.88e-03,2.40e-02,77.1
77,7.1048,51.50,1.3604,72.27,63.83,1.0251,-1.00,-1.0000,3.81e-03,2.34e-02,78.4
78,6.9470,51.97,1.3857,74.57,64.53,1.0389,-1.00,-1.0000,3.75e-03,2.29e-02,78.3
79,6.7895,53.29,1.3527,75.39,66.56,1.0019,-1.00,-1.0000,3.68e-03,2.24e-02,78.1
80,6.6322,52.39,1.3464,75.25,67.98,0.9874,73.42,1.0524,3.62e-03,2.19e-02,78.9
81,6.4753,53.05,1.3388,75.72,66.93,1.0030,-1.00,-1.0000,3.55e-03,2.13e-02,79.5
82,6.3189,53.02,1.3406,76.97,70.28,0.9913,-1.00,-1.0000,3.48e-03,2.08e-02,79.6
83,6.1630,53.99,1.3330,75.57,68.12,1.0210,-1.00,-1.0000,3.41e-03,2.03e-02,79.7
84,6.0078,52.36,1.3556,74.61,67.84,1.0459,-1.00,-1.0000,3.34e-03,1.98e-02,79.3
85,5.8531,53.63,1.3172,74.70,69.61,0.9892,-1.00,-1.0000,3.27e-03,1.93e-02,79.6
86,5.6992,54.42,1.3172,73.09,66.03,1.0222,-1.00,-1.0000,3.20e-03,1.88e-02,79.6
87,5.5461,53.24,1.3384,75.91,70.60,1.0035,-1.00,-1.0000,3.13e-03,1.83e-02,79.8
88,5.3939,53.39,1.3336,76.60,72.45,0.9722,-1.00,-1.0000,3.06e-03,1.78e-02,79.4
89,5.2426,54.13,1.3171,75.69,72.25,1.0009,-1.00,-1.0000,2.98e-03,1.73e-02,78.0
90,5.0923,55.50,1.2951,78.02,72.78,0.9452,74.32,1.0050,2.91e-03,1.68e-02,77.7
91,4.9431,54.54,1.3044,76.00,72.75,0.9667,-1.00,-1.0000,2.84e-03,1.63e-02,77.8
92,4.7950,53.74,1.3195,76.15,74.61,1.0003,-1.00,-1.0000,2.76e-03,1.58e-02,77.6
93,4.6481,52.50,1.3449,77.32,72.52,0.9819,-1.00,-1.0000,2.69e-03,1.53e-02,78.0
94,4.5025,54.55,1.2982,76.06,72.61,0.9610,-1.00,-1.0000,2.61e-03,1.48e-02,77.4
95,4.3583,53.19,1.3207,74.66,70.34,0.9884,-1.00,-1.0000,2.54e-03,1.44e-02,77.6
96,4.2154,54.73,1.2995,77.16,72.04,0.9819,-1.00,-1.0000,2.46e-03,1.39e-02,77.9
97,4.0740,54.49,1.3209,75.39,70.95,0.9954,-1.00,-1.0000,2.39e-03,1.34e-02,77.6
98,3.9341,54.62,1.2877,73.88,71.81,0.9853,-1.00,-1.0000,2.31e-03,1.30e-02,78.7
99,3.7957,54.34,1.2757,77.51,74.49,0.9614,-1.00,-1.0000,2.24e-03,1.25e-02,77.1
100,3.6591,55.08,1.2931,75.64,75.15,0.9423,72.23,1.0162,2.16e-03,1.20e-02,76.7
101,3.5241,54.93,1.2771,77.87,75.08,0.9529,-1.00,-1.0000,2.09e-03,1.16e-02,76.5
102,3.3909,55.16,1.2793,75.89,71.94,0.9657,-1.00,-1.0000,2.02e-03,1.12e-02,77.0
103,3.2596,55.14,1.2882,76.80,75.19,0.9579,-1.00,-1.0000,1.94e-03,1.07e-02,76.8
104,3.1301,54.31,1.2845,75.68,73.33,0.9703,-1.00,-1.0000,1.87e-03,1.03e-02,77.1
105,3.0025,55.33,1.2947,76.02,73.09,0.9844,-1.00,-1.0000,1.80e-03,9.89e-03,77.2
106,2.8770,54.96,1.2781,77.98,74.91,0.9408,-1.00,-1.0000,1.73e-03,9.47e-03,77.1
107,2.7535,54.96,1.2827,77.61,73.24,0.9777,-1.00,-1.0000,1.66e-03,9.06e-03,77.2
108,2.6321,54.50,1.2817,77.31,73.60,0.9715,-1.00,-1.0000,1.59e-03,8.66e-03,77.1
109,2.5129,55.66,1.2844,77.27,73.88,0.9580,-1.00,-1.0000,1.52e-03,8.27e-03,76.8
110,2.3959,54.42,1.2875,77.46,72.84,0.9724,74.61,1.0240,1.45e-03,7.89e-03,77.3
111,2.2812,54.89,1.2917,77.08,74.90,0.9821,-1.00,-1.0000,1.38e-03,7.51e-03,76.1
112,2.1688,55.13,1.2909,78.19,74.77,0.9667,-1.00,-1.0000,1.32e-03,7.14e-03,76.2
113,2.0588,55.91,1.2670,77.40,75.78,0.9726,-1.00,-1.0000,1.25e-03,6.78e-03,76.7
114,1.9512,54.02,1.2987,78.26,74.79,0.9675,-1.00,-1.0000,1.19e-03,6.42e-03,76.5
115,1.8460,54.92,1.2881,77.50,75.17,0.9957,-1.00,-1.0000,1.12e-03,6.08e-03,76.7
116,1.7434,55.26,1.2689,78.05,76.59,0.9663,-1.00,-1.0000,1.06e-03,5.74e-03,76.2
117,1.6433,54.55,1.2979,77.98,75.48,0.9848,-1.00,-1.0000,1.00e-03,5.41e-03,77.2
118,1.5458,55.29,1.2778,78.22,75.84,0.9775,-1.00,-1.0000,9.41e-04,5.09e-03,76.6
119,1.4510,56.26,1.2592,77.25,74.85,0.9771,-1.00,-1.0000,8.84e-04,4.77e-03,76.9
120,1.3589,54.73,1.2985,76.49,75.70,0.9780,74.04,1.0192,8.27e-04,4.47e-03,75.8
121,1.2695,54.15,1.3020,76.64,76.92,0.9934,-1.00,-1.0000,7.72e-04,4.18e-03,76.4
122,1.1828,55.06,1.2889,76.79,77.53,0.9931,-1.00,-1.0000,7.19e-04,3.89e-03,76.4
123,1.0990,53.55,1.3117,77.34,77.01,0.9890,-1.00,-1.0000,6.67e-04,3.62e-03,77.0
124,1.0180,54.57,1.2905,76.79,77.01,0.9879,-1.00,-1.0000,6.17e-04,3.35e-03,76.6
125,0.9399,53.41,1.3324,76.84,77.34,1.0063,-1.00,-1.0000,5.69e-04,3.09e-03,75.7
126,0.8647,54.91,1.2943,76.77,76.73,1.0094,-1.00,-1.0000,5.22e-04,2.84e-03,78.2
127,0.7925,53.81,1.3125,77.66,77.03,1.0080,-1.00,-1.0000,4.77e-04,2.61e-03,77.8
128,0.7233,53.14,1.3232,76.84,78.52,1.0255,-1.00,-1.0000,4.34e-04,2.38e-03,77.2
129,0.6570,53.77,1.3208,77.89,78.17,1.0298,-1.00,-1.0000,3.93e-04,2.16e-03,76.5
130,0.5938,53.80,1.3124,77.98,78.63,1.0302,74.12,1.0557,3.54e-04,1.95e-03,77.0
